fish_name,sex,standard_length,order,average_prop_time_thigmo_T0_to_T29,average_prop_time_mirror_T0_to_T29,average_number_of_entries_T0_to_T29,average_number_of_entries_T30_to_T50,average_number_of_entries_full_4_minutes,average_reaction_time,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,total_number_of_testing_trials_using_full_4_minutes_data,total_number_of_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,median_performance_on_0.50_ratio_using_full_4_minutes_data,median_performance_on_0.67_ratio_using_full_4_minutes_data,median_performance_on_0.75_ratio_using_full_4_minutes_data,median_performance_on_0.50_ratio_using_T30_to_T50_data,median_performance_on_0.67_ratio_using_T30_to_T50_data,median_performance_on_0.75_ratio_using_T30_to_T50_data,number_of_medians_above_60_using_full_4_minutes_data,number_of_medians_above_60_using_T30_to_T50_data,shapiro_wilk_test_p_value_using_full_4_minutes_data,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,shapiro_wilk_test_p_value_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,learning_category_according_to_etheredge_T30_to_T50,learning_category_according_to_etheredge_full_4_minutes,did_fish_have_a_median_above_60,did_fish_have_at_least_two_medians_above_60,average_latency_to_enter_correct_side,average_latency_to_enter_incorrect_side,average_latency_to_enter_correct_side_filtered_just_correct_choice,proportion_of_correct_first_choices,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,number_of_trials_in_a_row_correct_choice_first,mean_of_median_performance_on_each_ratio_full_four_minutes_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data
gretchen,F,2879,NDS,0.17637547892720307,0.41888888888888887,6.333333333333333,6.777777777777778,108.44444444444444,2.205555555555555,0.5798771221679269,0.5556768558951964,9,8,2,3,3,2,3,2,0.6842313787638669,1,0.2113526570048309,0.7227074235807857,1,0.5,2,2,0.030314825143480034,0.546493595406582,0.005711008775698185,0.8210975835519595,low,low,1,1,39.69285714285714,18.1098,39.69285714285714,0.3333333333333333,2,3,1,0.6318613452562326,0.7409024745269286
wade,M,1997,NDS,0.6532183908045978,0.3157854406130268,1.7777777777777777,2.4444444444444446,13.11111111111111,27.106555555555556,0.5796417833208214,0.6,8,5,2,3,3,2,2,1,0.9620778349780348,0.1374078890333768,0.5755707075771249,1,0,1,1,2,0.01823776718023484,0.7230087105700103,0.006470000751665464,0.765594483995764,low,low,1,1,65.97083333333333,102.62650000000001,65.97083333333333,0.5,2,2,1,0.5583521438628455,0.6666666666666666
willis,M,2235,SDN,0.07720306513409961,0.18,3.5555555555555554,4.222222222222222,26.88888888888889,32.61666666666667,0.232649123508876,0.14480711233978386,8,8,3,3,3,3,3,3,0.4764285714285714,0.015558698727015487,0.11240992794235394,0,0,0,0,0,0.02433433800009984,0.05747074469647431,5.870842036764304e-4,0.08070813375119286,non,non,0,0,67.275,5.787499999999999,67.275,0,1,1,0,0.20146573269931362,0
gloria,F,3350,SDN,0.06952107279693487,0.26257854406130265,5.666666666666667,5.555555555555555,45.44444444444444,5.608333333333333,0.4995236155188724,0.42305537708857577,9,9,3,3,3,3,3,3,0.5049045860698482,0.3892421159715157,0.5134803921568628,0.31268436578171094,0.7016212487064503,0,0,1,0.4510880219268337,0.9939400301986933,0.1318094549613764,0.5825017903775748,low,non,1,0,24.924,16.143749999999997,24.924,0.5714285714285714,2,2,2,0.4692090313994089,0.33810187149605375
waldhurga,F,3066,SND,0.33371647509578545,0.05986590038314177,2.5555555555555554,2.4444444444444446,18.555555555555557,14.630555555555556,0.41259204442701325,0.1963470319634703,9,6,3,3,3,2,2,2,0.4285209684670219,0.44810704960835496,0.3027586206896551,0.5,0,0.08904109589041093,0,0,0.6451568532689372,0.44360727160540814,4.580370978032415e-4,0.1824224394517357,non,non,0,0,63.875,72.102125,63.875,0.5,2,1,2,0.39312887958834397,0.1963470319634703
garrison,M,2160,SND,0.43984674329501916,0.43703448275862067,2,6.333333333333333,39.22222222222222,6.352777777777778,0.4792582637058709,0.3688902084917123,9,9,3,3,3,3,3,3,0.42070051160960237,0.35780496848350013,0.6315614617940198,0.4608695652173923,0.04255319148936162,0.40650406504065006,1,0,0.44469177390080183,0.7185483438821278,0.03136490382946421,0.33462680974788683,non,low,0,0,19.927666666666667,16.69475,19.927666666666667,0.5,1,1,3,0.4700223139623741,0.303308940582468
george,M,2222,NSD,0.10057471264367816,0.12442528735632184,2.3333333333333335,3.111111111111111,26.11111111111111,9.702777777777778,0.4974310363413205,0.46997150091047424,9,9,3,3,3,3,3,3,0.28077416096954644,0.8544355946168636,0.5004376367614878,0,1,0.36833046471600683,1,1,0.2827154871869001,0.9828566660200055,0.005897970368718591,0.8029638744383367,low,low,1,0,30.017857142857142,40.8125,30.017857142857142,0.3333333333333333,2,2,1,0.5452157974492993,0.45611015490533563
waverly,F,1319,SDN,0.03141762452107279,0.4004980842911878,5.444444444444445,1.5555555555555556,16,36.083444444444446,NaN,NaN,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,non,non,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
wilbur,M,1961,DNS,0.28633333333333333,0.4067777777777778,4.888888888888889,4.888888888888889,47.333333333333336,2.266666666666667,0.5359650314427535,0.5746753246753247,9,9,3,3,3,3,3,3,0.4662620492681185,0.7529328621908127,0.47539342904472676,0.17207792207792239,1,1,1,2,0.17635487844430214,0.6104401202628251,0.0010317127868623537,0.5637028616507731,low,low,1,1,17.863888888888887,46.36875,17.863888888888887,0.75,2,2,3,0.5648627801678859,0.7240259740259741
wildflower,F,2710,NSD,0.30075095785440614,0.19624137931034483,2.7777777777777777,2.5555555555555554,23.555555555555557,20.833333333333332,0.3609409035190732,0.2739884393063584,8,5,3,3,3,1,2,3,0.3544176706827311,0.29377468497272896,0.3293584886774328,0.369942196531792,0.5,0,0,0,0.5253087550153003,0.22021012631919012,0.025847559304012,0.6567212865637704,non,non,0,0,103.31666666666666,56.99166666666667,103.31666666666666,0,1,1,0,0.3258502814442976,0.289980732177264
gemma,F,2823,NSD,0.035632183908045977,0.0568007662835249,2.6666666666666665,4.333333333333333,36.111111111111114,12.03888888888889,0.43452735202202486,0.42079682420169956,9,8,3,3,3,3,3,2,0.4261127596439169,0.4305804907241174,0.20684931506849316,0,0.22568093385213994,0.5,0,0,0.24334034629500295,0.6117679367174873,0.008706840098416364,0.7196107398947735,non,non,0,0,51.81,23.729166666666668,51.81,0,1,1,0,0.35451418847884253,0.24189364461737997
gertrude,F,2878,SDN,0.2509348659003831,0.22105363984674328,7.444444444444445,8.777777777777779,48.77777777777778,3.2499999999999996,0.47988116526981145,0.4423868312757202,9,6,3,3,3,2,2,2,0.24587458745874538,0.5436241610738257,0.36163522012578603,0.32716049382716056,0.5,0.5,0,0,0.3165691513909684,0.8742063786681604,0.029823872693191013,0.8241408957418852,non,non,0,0,37.46071428571429,72.849375,37.46071428571429,0.6666666666666666,2,2,2,0.38371132288611903,0.4423868312757202
grayson,M,1097,SDN,0.3258429118773946,0.30765900383141764,2.6666666666666665,4.333333333333333,36.22222222222222,16.225,0.4562452926553839,0.5629222972972973,9,8,3,3,3,3,3,2,0.6522157996146439,0.5095415117719952,0.2276052788182171,1,1,0,1,2,0.9977193192858387,0.6325925670915944,0.005699928850000039,0.7062559621048525,low,low,1,1,33.19285714285714,32.959375,33.19285714285714,0.5,1,2,1,0.46312086340161873,0.6666666666666666
watson,M,1968,DNS,0.12693965517241376,0.19114224137931035,4.375,4.5,32.375,13.6425,0.44566332182800933,0.43201647193976944,8,8,3,3,2,3,3,2,0.271018593371059,0.5554896142433235,0.44530892882336304,0,1,0.1527724021273239,0,1,0.4247106210708153,0.5831368486567914,0.12429478504790943,0.6590640627067738,low,non,1,0,14.733,27.59,14.733,0.5,2,1,1,0.42393904547924854,0.38425746737577465
gary,M,2330,NSD,0.13867816091954024,0.42815325670498083,8,5.444444444444445,53.77777777777778,2.0088888888888885,0.5103590139708649,0.524902874444351,9,7,3,3,3,2,2,3,0.5532829287703944,0.6151104775481109,0.4088815789473684,0.6889715788798357,0.5,0.4083769633507854,1,1,0.995135198775796,0.8840150616784982,0.1846331223148499,0.8814298412768545,low,low,1,0,54.819374999999994,46.2525,54.819374999999994,0.2,2,2,1,0.5257583284219579,0.5324495140768737
winter,F,2868,SND,0.33876245210727973,0.16628352490421455,15.11111111111111,7.111111111111111,97.77777777777777,1.5283333333333333,0.4921498497267916,0.6780586730702488,9,9,3,3,3,3,3,3,0.5974594831362242,0.4218262694504137,0.4967339557884638,1,0.4007790845756236,1,0,2,0.5688024737557376,0.8517170880490149,0.02516289954483832,0.18462451562339968,low,non,1,1,17.58175,16.35611111111111,17.58175,0.5,1,3,2,0.5053399027917006,0.8002596948585412
georgiafixed,F,3036,DNS,0.23182375478927209,0.36912260536398467,10.777777777777779,6,60.111111111111114,4.794666666666666,0.5003592958001349,0.578846788203382,9,9,3,3,3,3,3,3,0.49198717948717957,0.5162979226482012,0.4742451154529307,0.5068965517241381,0.5281690140845069,0.8300884955752214,0,1,0.41741897078033813,0.9900460787921892,0.17921643994861083,0.5456792325575683,low,non,1,0,10.333666666666668,11.215874999999999,10.333666666666668,0.6,1,2,1,0.49417673919610383,0.6217180204612888
wendy,F,3437,NSD,0.23418007662835252,0.329272030651341,7.333333333333333,10.11111111111111,94.55555555555556,2.566666666666667,0.49369367024178457,0.5337161814632942,9,9,3,3,3,3,3,3,0.6112499999999996,0.44186888808402736,0.3373246664385904,0.7338582677165353,0.6600000000000001,0.2804878048780489,1,2,0.06515107463068219,0.9190679644104038,0.25645194014304007,0.6636585138945696,low,low,1,1,3.9874999999999994,5.7178571428571425,3.9874999999999994,0.5,2,2,3,0.4634811848408725,0.5581153575315281
gladys,F,2695,NDS,0.15096059113300492,0.19029556650246307,5.571428571428571,3.4285714285714284,42.285714285714285,12.46857142857143,0.4768127061037222,0.7142857142857143,7,7,2,2,3,2,2,3,0.5367054980592403,0.47356944913203225,0.4554983800266819,0.5,1,1,0,2,0.7182102733155302,0.5823896211835776,2.751787022775031e-4,0.2986176744488101,low,non,1,1,17.605,35.875,17.605,1,1,5,3,0.48859110907265146,0.8333333333333334
gibson,M,2023,NSD,0.2502413793103448,0.4854214559386973,5.888888888888889,4.888888888888889,50,3.6821111111111104,0.3214310815760527,0.2562157606405394,8,6,3,2,3,2,1,3,0.5266666666666666,0.1996775679410413,0,0.7686472819216184,0,0,0,1,0.1537721438967483,0.18570792180274728,0.006840978047058498,0.2665205258050108,low,non,1,0,39.583,16.192142857142855,39.583,0.5,1,1,1,0.24211474486923598,0.25621576064053947
gina,F,2687,DNS,0.2641992337164751,0.331,5.777777777777778,4.555555555555555,55.111111111111114,3.7243333333333326,0.5345077365698145,0.4000356956239309,9,8,3,3,3,3,3,2,0.8803087209542285,0.6056711201307848,0.5336153051689373,0,0.07501083971672186,0.5626373626373625,2,0,0.24513004845176012,0.7669476597097331,0.0019311912804944142,0.8835658386254671,non,low,0,0,50.29116666666667,42.492,50.29116666666667,0.5,3,3,2,0.6731983820846502,0.2125494007846948
griffin,M,1019,SDN,0.3478927203065134,0.11293103448275861,3.6666666666666665,2.2222222222222223,25.333333333333332,16.869444444444444,0.3962744324378054,0.5,9,6,3,3,3,3,1,2,0.44177724765170717,0.3692085812150715,0.21595133491044274,1,0,0.5,0,1,0.4518545293208607,0.3634729412332518,0.004039328517458278,1,low,non,1,0,50.828125,67.92916666666667,50.828125,0.6,1,2,3,0.3423123879257405,0.5
gabriel,M,2050,DSN,0.06776436781609194,0.505080459770115,4.166666666666667,6,54.5,6.737500000000002,0.5917746343180567,0.5593344217982923,6,6,3,1,2,3,1,2,0.5649674204676122,0.7140486980566864,0.5709249121607773,0.10336538461538422,1,0.6263205730871846,1,2,0.8667000237146567,0.16637842211630044,0.2936597216981074,0.7490842427053411,low,low,1,1,11.192600000000002,42.4674,11.192600000000002,0.5,2,1,1,0.6166470102283587,0.5765619859008563
winona,F,3227,SDN,0.3596206896551724,0.35395785440613026,5.444444444444445,9.444444444444445,135.33333333333334,1.4746666666666666,0.46399193901809427,0.5562477857926704,9,9,3,3,3,3,3,3,0.20494936695381824,0.8252181332746141,0.39776084375603954,0.24952015355086368,0.79155238617663215,0.6940418679549114,1,2,0.05572961676039821,0.7491975845590193,0.10007491563341936,0.6901769383742762,low,low,1,1,8.920857142857143,10.709111111111111,8.920857142857143,0.5714285714285714,1,2,2,0.47597611466149065,0.5783714692274691
gideon,M,1025,SDN,0.4115708812260536,0.020402298850574718,7.666666666666667,2.7777777777777777,30.77777777777778,18.20277777777778,0.35028508666293956,0.2857142857142857,8,7,3,3,3,3,2,3,0.18069088926479426,0.4365386972466367,0,0,0,0,0,0,0.025232689232391955,0.18127639241267002,4.790565961876614e-4,0.5296506700533425,non,non,0,0,134.42499999999998,71.34166666666667,134.42499999999998,1,2,1,1,0.20574319550381032,0
gordon,M,2156,NSD,0.39620689655172414,0.2227241379310345,5.222222222222222,3.6666666666666665,22.22222222222222,12.283555555555555,0.18069139441454982,0.3333333333333333,7,3,1,3,3,0,1,2,0.0380204042836323,0.1269951422623176,0,NA,1,0,0,1,0.010593674990106368,0.05024291912937796,0,0.7728299926844475,low,non,1,0,94.125,86.32514285714286,94.125,0.6666666666666666,1,1,2,0.055005182181983296,0.5
