var1,var2,statistic,value,p_value,n
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,r,0.604766583,1.19E-04,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,shapiro_wilk_test_p_value_using_T30_to_T50_data,r,0.25192132,0.157272002,33
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,0.272979943,0.12428234,33
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,learning_category_according_to_etheredge_T30_to_T50,ICC,-0.059616098,0.48,34
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,learning_category_according_to_etheredge_full_4_minutes,ICC,0.276713588,0.01,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,average_latency_to_enter_correct_side,r,-0.461189112,0.005296392,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,average_latency_to_enter_incorrect_side,r,-0.088163485,0.61452682,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,-0.37844797,0.024978791,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,proportion_of_correct_first_choices,r,-0.028768061,0.869694212,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,0.395999903,0.018529413,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,0.205400412,0.236529368,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,number_of_trials_in_a_row_correct_choice_first,r,0.122773691,0.48228923,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,0.9381671,9.17E-17,35
average_performance_across_all_9_testing_trials_using_full_4_minutes_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.369449862,0.028943855,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,total_number_of_testing_trials_using_full_4_minutes_data,r,0.180172305,0.300337951,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,total_number_of_testing_trials_using_T30_to_T50_data,r,0.368475136,0.029402753,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,r,-0.112979365,0.518153297,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,r,0.26863266,0.11867179,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,r,0.106584544,0.542257824,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,r,0.407244715,0.015178635,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,r,0.273199656,0.112297714,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,r,0.208236781,0.229977026,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,median_performance_on_0.50_ratio_using_full_4_minutes_data,r,-0.005968223,0.97285608,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,median_performance_on_0.67_ratio_using_full_4_minutes_data,r,0.266189944,0.122190152,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,median_performance_on_0.75_ratio_using_full_4_minutes_data,r,0.347280778,0.044182487,34
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,median_performance_on_0.50_ratio_using_T30_to_T50_data,r,0.442758188,0.009871419,33
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,median_performance_on_0.67_ratio_using_T30_to_T50_data,r,0.531338679,0.001022065,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,median_performance_on_0.75_ratio_using_T30_to_T50_data,r,0.685051053,7.84E-06,34
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_medians_above_60_using_full_4_minutes_data,ICC,-0.115695964,0.17,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_medians_above_60_using_T30_to_T50_data,ICC,0.56279161,0.01,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,shapiro_wilk_test_p_value_using_full_4_minutes_data,r,0.271788713,0.114238817,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,r,0.209550247,0.226984877,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,shapiro_wilk_test_p_value_using_T30_to_T50_data,r,0.118049066,0.512927504,33
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,0.197759418,0.269950388,33
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,learning_category_according_to_etheredge_T30_to_T50,ICC,0.49209705,0.01,34
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,learning_category_according_to_etheredge_full_4_minutes,ICC,-0.06107931,0.27,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,average_latency_to_enter_correct_side,r,-0.528336531,0.001104718,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,average_latency_to_enter_incorrect_side,r,-0.156712524,0.368638958,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,-0.569162397,3.60E-04,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,proportion_of_correct_first_choices,r,0.394432283,0.019042159,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,0.058446326,0.738756247,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,0.608138438,1.06E-04,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,number_of_trials_in_a_row_correct_choice_first,r,0.351915926,0.038154353,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,0.335069245,0.049114141,35
average_performance_across_all_9_testing_trials_using_T30_to_T50_data,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.904055812,9.97E-14,35
average_reaction_time,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,r,-0.278078431,0.105776594,35
average_reaction_time,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,r,-0.198184572,0.253762071,35
average_reaction_time,total_number_of_testing_trials_using_full_4_minutes_data,r,-0.41801241,0.011183487,36
average_reaction_time,total_number_of_testing_trials_using_T30_to_T50_data,r,-0.347102019,0.03807086,36
average_reaction_time,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,r,-0.509092224,0.001519721,36
average_reaction_time,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,r,-0.28874138,0.087655068,36
average_reaction_time,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,r,-0.220605427,0.196039869,36
average_reaction_time,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,r,-0.261592658,0.123282788,36
average_reaction_time,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,r,-0.292319696,0.08362408,36
average_reaction_time,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,r,-0.335862298,0.045214612,36
average_reaction_time,median_performance_on_0.50_ratio_using_full_4_minutes_data,r,0.021370293,0.903017365,35
average_reaction_time,median_performance_on_0.67_ratio_using_full_4_minutes_data,r,-0.448746722,0.006853434,35
average_reaction_time,median_performance_on_0.75_ratio_using_full_4_minutes_data,r,-0.156599548,0.376456451,34
average_reaction_time,median_performance_on_0.50_ratio_using_T30_to_T50_data,r,-0.080311765,0.656836022,33
average_reaction_time,median_performance_on_0.67_ratio_using_T30_to_T50_data,r,-0.236949168,0.170527876,35
average_reaction_time,median_performance_on_0.75_ratio_using_T30_to_T50_data,r,-0.281828279,0.106357483,34
average_reaction_time,number_of_medians_above_60_using_full_4_minutes_data,ICC,-0.040895351,0.74,36
average_reaction_time,number_of_medians_above_60_using_T30_to_T50_data,ICC,0.036444621,0.79,36
average_reaction_time,shapiro_wilk_test_p_value_using_full_4_minutes_data,r,-0.071621931,0.68264355,35
average_reaction_time,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,r,-0.32399715,0.057596521,35
average_reaction_time,shapiro_wilk_test_p_value_using_T30_to_T50_data,r,-0.339736513,0.053068825,33
average_reaction_time,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,-0.133559356,0.458701901,33
average_reaction_time,learning_category_according_to_etheredge_T30_to_T50,ICC,0.132832531,0.05,35
average_reaction_time,learning_category_according_to_etheredge_full_4_minutes,ICC,-0.032245147,0.73,36
average_reaction_time,average_latency_to_enter_correct_side,r,0.444989454,0.007394605,35
average_reaction_time,average_latency_to_enter_incorrect_side,r,0.370022752,0.028676894,35
average_reaction_time,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,0.483701591,0.003241636,35
average_reaction_time,proportion_of_correct_first_choices,r,-0.198941044,0.251917396,35
average_reaction_time,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,-0.132634309,0.440625873,36
average_reaction_time,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,-0.124922826,0.467878231,36
average_reaction_time,number_of_trials_in_a_row_correct_choice_first,r,-0.446672483,0.006315684,36
average_reaction_time,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,-0.341829486,0.044447468,35
average_reaction_time,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,-0.309774452,0.07015143,35
binned_did_fish_solve_shuttlebox,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_stimulus,r,0.134388354,0.463371877,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_gaps,r,-0.337277822,0.059058202,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_shuttlebox_slope,r,-0.117940275,0.520304113,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_shuttlebox_wilcox_test,r,-0.426071439,0.0150367,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_binned_shuttlebox_slope,r,-0.119360231,0.515258045,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_binned_shuttlebox_wilcox_test,r,-0.426071439,0.0150367,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,0.278076443,0.123310061,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,r,-0.199224509,0.274328015,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.169761887,0.352952443,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.311124335,0.083046856,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,0.278998448,0.122020038,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,r,-0.181414222,0.320378144,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.168277531,0.357239862,32
binned_did_fish_solve_shuttlebox,twentythree_filtered_binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,0.299380365,0.095992627,32
binned_did_fish_solve_shuttlebox,standard_length,r,0.106599377,0.636813373,22
binned_did_fish_solve_shuttlebox,order,ICC,0.050982626,1,22
binned_did_fish_solve_shuttlebox,average_number_of_entries,r,0.474236029,0.025757766,22
binned_did_fish_solve_shuttlebox,average_reaction_time,r,0.103457362,0.646833619,22
binned_did_fish_solve_shuttlebox,average_performance_across_all_9_testing_trials_using_full_4_minutes_data,r,0.253527185,0.267470308,21
binned_did_fish_solve_shuttlebox,average_performance_across_all_9_testing_trials_using_T30_to_T50_data,r,0.255315044,0.263995726,21
binned_did_fish_solve_shuttlebox,total_number_of_testing_trials_using_full_4_minutes_data,r,-0.432920846,0.044166685,22
binned_did_fish_solve_shuttlebox,total_number_of_testing_trials_using_T30_to_T50_data,r,-0.195218895,0.383956398,22
binned_did_fish_solve_shuttlebox,number_of_trials_on_0.50_ratio_using_full_4_minutes_data,r,-0.499512433,0.017935944,22
binned_did_fish_solve_shuttlebox,number_of_trials_on_0.67_ratio_using_full_4_minutes_data,r,-0.458567088,0.031833905,22
binned_did_fish_solve_shuttlebox,number_of_trials_on_0.75_ratio_using_full_4_minutes_data,r,-0.310285801,0.15990632,22
binned_did_fish_solve_shuttlebox,number_of_trials_on_0.50_ratio_using_T30_to_T50_data,r,-0.234435609,0.293654107,22
binned_did_fish_solve_shuttlebox,number_of_trials_on_0.67_ratio_using_T30_to_T50_data,r,-0.100220729,0.657217752,22
binned_did_fish_solve_shuttlebox,number_of_trials_on_0.75_ratio_using_T30_to_T50_data,r,-0.297300581,0.179050582,22
binned_did_fish_solve_shuttlebox,median_performance_on_0.50_ratio_using_full_4_minutes_data,r,0.01822854,0.937490183,21
binned_did_fish_solve_shuttlebox,median_performance_on_0.67_ratio_using_full_4_minutes_data,r,0.517819718,0.016198883,21
binned_did_fish_solve_shuttlebox,median_performance_on_0.75_ratio_using_full_4_minutes_data,r,-0.039232732,0.869558553,20
binned_did_fish_solve_shuttlebox,median_performance_on_0.50_ratio_using_T30_to_T50_data,r,0.030185282,0.89947171,20
binned_did_fish_solve_shuttlebox,median_performance_on_0.67_ratio_using_T30_to_T50_data,r,0.284590526,0.211170983,21
binned_did_fish_solve_shuttlebox,median_performance_on_0.75_ratio_using_T30_to_T50_data,r,0.250122893,0.287518314,20
binned_did_fish_solve_shuttlebox,number_of_medians_above_60_using_full_4_minutes_data,ICC,0.34818097,0.15,22
binned_did_fish_solve_shuttlebox,number_of_medians_above_60_using_T30_to_T50_data,ICC,0.092499535,0.39,22
binned_did_fish_solve_shuttlebox,shapiro_wilk_test_p_value_using_full_4_minutes_data,r,-0.260083241,0.254869484,21
binned_did_fish_solve_shuttlebox,was_average_performance_significantly_different_from_0.5_full_4_minutes_p_value_of_either_t_test_or_wilcox,r,0.060136687,0.795681353,21
binned_did_fish_solve_shuttlebox,shapiro_wilk_test_p_value_using_T30_to_T50_data,r,-0.100430536,0.673545405,20
binned_did_fish_solve_shuttlebox,was_average_performance_significantly_different_from_0.5_T30_to_T50_p_value_of_either_t_test_or_wilcox,r,0.187763487,0.427938265,20
binned_did_fish_solve_shuttlebox,learning_category_according_to_etheredge_T30_to_T50,ICC,-0.12,0.02,21
binned_did_fish_solve_shuttlebox,learning_category_according_to_etheredge_full_4_minutes,ICC,-0.039050404,0.75,22
binned_did_fish_solve_shuttlebox,average_latency_to_enter_correct_side,r,-0.222820189,0.331625429,21
binned_did_fish_solve_shuttlebox,average_latency_to_enter_incorrect_side,r,-0.261978444,0.251298787,21
binned_did_fish_solve_shuttlebox,average_latency_to_enter_correct_side_filtered_just_correct_choice,r,-0.192983128,0.401958508,21
binned_did_fish_solve_shuttlebox,proportion_of_correct_first_choices,r,-0.039583467,0.86473251,21
binned_did_fish_solve_shuttlebox,number_of_trials_in_a_row_greater_than_60_percent_full_4_minutes,r,-0.340278524,0.121250782,22
binned_did_fish_solve_shuttlebox,number_of_trials_in_a_row_greater_than_60_percent_T30_to_T50,r,-0.025031309,0.911956701,22
binned_did_fish_solve_shuttlebox,number_of_trials_in_a_row_correct_choice_first,r,-0.155113347,0.490654854,22
binned_did_fish_solve_shuttlebox,mean_of_median_performance_on_each_ratio_full_four_minutes_data,r,0.334273059,0.138600268,21
binned_did_fish_solve_shuttlebox,mean_of_median_performance_on_each_ratio_T30_to_T50_data,r,0.311295708,0.169565629,21
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,r,0.508208365,0.002981229,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,binned_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,0.21082798,0.246762233,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,binned_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,-0.038240655,0.835392128,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,did_fish_solve_shuttlebox,ICC,0.111249145,0.64,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,binned_did_fish_solve_shuttlebox,r,0.242610062,0.180930015,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_stimulus,r,-0.289486899,0.108041811,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_shuttlebox_average_distance_from_correct_stimulus_during_gaps,r,-0.608198271,2.22E-04,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_shuttlebox_slope,r,0.071501127,0.697366717,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_shuttlebox_wilcox_test,r,0.16667412,0.361905952,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_binned_shuttlebox_slope,r,0.043591573,0.812739989,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_binned_shuttlebox_wilcox_test,r,0.16667412,0.361905952,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,0.669746854,2.76E-05,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_shuttlebox_average_proportion_of_time_on_correct_side_during_stimulus,r,0.34569334,0.05262866,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_gaps_slope_across_presentations,r,-0.069792848,0.7042694,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_shuttlebox_proportion_of_time_on_correct_side_during_stimulus_slope_across_presentations,r,-0.083866683,0.648137058,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,r,0.646083839,6.49E-05,32
binned_shuttlebox_average_proportion_of_time_on_correct_side_during_gaps,twentythree_filtered_binned_shuttlebox_average_proportion_of_time_on_the_correct_side_during_stimulus,r,0.353779254,0.046986459,32
